expression,heads,deps
The Australian share market headed higher at the open on Tuesday with a rebound on Wall Street providing enough motivation to ensure a firmer tone.,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","['-', 'ENTITY', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'ATTRIBUTE']"
The Australian share market headed higher at the open on Tuesday with a rebound on Wall Street providing enough motivation to ensure a firmer tone.,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['-', 'ENTITY', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'ATTRIBUTE', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
The Australian share market headed higher at the open on Tuesday with a rebound on Wall Street providing enough motivation to ensure a firmer tone.,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['-', 'ENTITY', '-', '-', '-', '-', '-', '-', 'ATTRIBUTE', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
The Australian share market headed higher at the open on Tuesday with a rebound on Wall Street providing enough motivation to ensure a firmer tone.,"[0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['-', 'ENTITY', 'ATTRIBUTE', 'ATTRIBUTE_ADD', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
"However, much of the local focus was on profits with newspaper publishers John Fairfax and Australian Provincial Newspapers, serum maker CSL and Capral Aluminium all due to report during the day.","[0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['-', '-', '-', '-', '-', 'ATTRIBUTE', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'ENTITY', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
"However, much of the local focus was on profits with newspaper publishers John Fairfax and Australian Provincial Newspapers, serum maker CSL and Capral Aluminium all due to report during the day.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'ENTITY', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
"However, much of the local focus was on profits with newspaper publishers John Fairfax and Australian Provincial Newspapers, serum maker CSL and Capral Aluminium all due to report during the day.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'ENTITY', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
The Australian share market headed higher at the open on Tuesday with a rebound on Wall Street providing enough motivation to ensure a firmer tone.,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['-', 'ENTITY', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'ATTRIBUTE', '-', '-', '-', '-', '-']"
"In broader terms, the meeting of the U.S. Federal Reserve later on Monday would be watched with interest although policy was expected to remain unchanged.","[0, 0, 0, 0, 0, 0, 6, 6, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0]","['-', '-', '-', '-', '-', '-', 'ENTITY', 'ENTITY_ADD', 'ENTITY_ADD', 'ENTITY_ADD', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'ATTRIBUTE', '-', '-', '-', '-', '-']"
"In broader terms, the meeting of the U.S. Federal Reserve later on Monday would be watched with interest although policy was expected to remain unchanged.","[0, 0, 0, 0, 0, 0, 6, 6, 7, 8, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0]","['-', '-', '-', '-', '-', '-', 'ENTITY', 'ENTITY_ADD', 'ENTITY_ADD', 'ENTITY_ADD', '-', '-', '-', '-', '-', '-', '-', 'ATTRIBUTE', '-', '-', '-', '-', '-', '-', '-']"
